,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
23,MITIGATION,Transport,Vehicle and fuel technologies,HYBRID ELECTRIC VEHICLES *,0,0,0,Energy and Waste Sector prioritization - 7 - Plug in hybrid electric vehicles,not recommended for prioritization,0,Afghanistan,1
24,MITIGATION,Carbon Fixation and Abatement,Carbon Capture and storage,CO2 STORAGE TECHNOLOGIES,0,0,0,Energy and Waste Sector prioritization - 9 -  Carbon capture & storage,Waste Sector prioritization - 9 -  Carbon capture & storage,0,Afghanistan,1
25,MITIGATION,Carbon Fixation and Abatement,Carbon Capture and storage,CO2 CAPTURE TECHNOLOGIES *,0,0,0,Energy and Waste Sector prioritization - 9 -  Carbon capture & storage,not recommended for prioritization,0,Afghanistan,1
26,MITIGATION,Early Warning and Environmental Assessment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,Development of a system to monitor and assess vulnerability and adaption to climate change,"Climate Science technology, climate science institutes with university 0.02 billion USD",0,0,0,Afghanistan,1
27,MITIGATION,Early Warning and Environmental Assessment,Monitoring systems,CLIMATE CHANGE MONITORING,0,Development of a system to monitor and assess vulnerability and adaption to climate change,"Climate Science technology, climate science institutes with university 0.02 billion USD",0,0,0,Afghanistan,1
28,MITIGATION,Early Warning and Environmental Assessment,Hazard mapping,SEASONAL TO INTERANNUAL WEATHER FORECAST,0,"Strengthen and expand meterological and hydrological monitoring networks and services, including a national database to archive and store meterological and hydrological data","hydrological, meterological and data equipment and integrated systems, operators and analysts for hydrological, meterological and data integrated systems, 0.01 billion USD",0,0,0,Afghanistan,1
29,MITIGATION,Infrastructure and Urban planning,Undefined,UNDEFINED,0,"Development of water resources through rehabilitation and reconstruction of small-, medium-, and large-scale infrastructure","Improved designs and methodologies for catchment management technology. Ecological engineering and spatial planning for water resources, 0.75 billion USD",0,0,0,Afghanistan,1
30,MITIGATION,Renewable energy,Renewable energy infrastructure,OFF-GRID SYSTEMS,0,"Behavioural change and opportunities for provision and development of alternative and renewable energy sources for 25% of the rural population above existing levels (15%), in order to contribute to a reduction in the unsustainable usage of natural resources and decreasing the strong reliance on fossil fuels by rural communities","technology transfer of renewable energy and sustainable energy, national centre for sustainable energy strengthened and expanded. combine public and private competencies, 0.105 billion USD",0,0,0,Afghanistan,1
31,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,0,0,0,Agriculture Sector prioritization - 1 - crop diversification,"including new varieities: Cultivation of (Cotton, Saffron, Sugar cane,
Beat root, fruits), Aprox. USD 50-60mil.  Large scale, short and medium term",1. Maintenance of crop diversity for sustainable development 2. Increase production and productivity,Afghanistan,1
32,MITIGATION,Agriculture and Forestry,Land management training,COMMUNITY-BASED AGRICULTURAL EXTENSION,0,0,0,Agriculture Sector prioritization - 2 - Responsive agricutlural extension,"Community based extension. Approx. USD 10-20 mil Medium scale, medium term",1.Message dissemination to targeted communities 2.Increasing information and practical scale levels of targeted communities,Afghanistan,1
33,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,DROUGHT-RESISTANT CROPS,0,0,0,Agriculture Sector prioritization - 3 - Resilient crops,"introduction of plant varieties resisitant to climate change. Approx. USD 70-80 mil. Large scale, medium term","1.Efficient use of crop varieties especially in drought prone areas or those with seasonal rainfall 2. Reduced demand for water by decreasing water evaporation losses 3. Improved crop health by easy fertilization in case of drip irrigation system, less leaching of nutrients from the root zone, and thus with lower probability of onset of diseases such as fungus",Afghanistan,1
34,MITIGATION,Agriculture and Forestry,Land use in human settlements,LAND USE IN HUMAN SETTLEMENTS,0,0,0,Agriculture Sector prioritization - 4 - Land use planning,"Approx. USD 7.55 mil. Medium to large scale, short and meidum term",1.Protect fertile agricultural lands from encroaching by land mafia 2. Improve chances of availability of more land for increasing acreage of farming 3.Improve disaster management approaches and risk reduction,Afghanistan,1
35,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,CONSERVATION TILLAGE,0,0,0,Agriculture Sector priorization - 5 - Conservative agriculture,"Conservative tillage. Approx. USD 10.6 mil. Small to medium scale, Medium term",1. Efficient use of available crop water in drought prone areas or those with seasonal rainfall 2. Reduced demand of water by minimized evaporation losses from the crop surfaces. 3. Improved food security,Afghanistan,1
36,MITIGATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,0,0,Agriculture Sector prioritization - 6 - Agro-forestry,"Cultivated crops under irrigated area. Approx. USD 800 per hectare. Medium scale, medium term",1. Provide strong defense against twin problem of salinity and water logging in the soil and thus ensures good crop productivity 2. Help to achieve food security target in changing climate by bringing more area under cultivation,Afghanistan,1
37,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,GREENHOUSE CROP MANAGEMENT,0,0,0,"Agriculture prioritization - 7 - Green house crops (Cucumber, Tomato, Capsicum)",not recommended for prioritization,0,Afghanistan,1
38,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,0,0,Agriculture Sector prioritization - 8 - Ecological pest management,not recommended for prioritization,0,Afghanistan,1
39,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,UNDEFINED,0,0,0,Agriculture Sector prioritization - 9 - Crop growing under plastic mulches,not recommended for prioritization,0,Afghanistan,1
40,MITIGATION,Agriculture and Forestry,Increasing crop resilience and productivity,WINDBREAKS,0,0,0,Agriculture Sector prioritization - 10 - Windbreaks,not recommended for prioritization,0,Afghanistan,1
41,MITIGATION,Agriculture and Forestry,Livestock management,PASTURE MANAGEMENT,0,0,0,Agriculture Sector prioritization - 11 - Pasture improvement,not recommended for prioritization,0,Afghanistan,1
42,MITIGATION,Agriculture and Forestry,Livestock management,GRAZING LAND MANAGEMENT,0,forestry and rangeland management tools and methods transferred to Afghanistan,"Regeneration of at least 40% of existing degraded forests and rangelands areas (~232,050 ha for forestry; and 5.35 mil ha for rangelands). Practitioners group built in university, government and local delivery levels, 2.5 billion USD",0,0,0,Afghanistan,1
43,MITIGATION,Agriculture and Forestry,"Seed, grain & food storage",EX SITU CONSERVATION AND SEED BANKS,0,0,0,Agriculture Sector prioritization - 12 - Seed and grain storage,not recommended for prioritization,0,Afghanistan,1
44,MITIGATION,Agriculture and Forestry,Terrrestrial ecosystems management,BIODIVERSITY MANAGEMENT SYSTEMS,0,At least 10% of Afghanistan land area and the habitat of selected species under a system of conservation,"Conservation ecology methods and tools, protected areas and species ecologists, and ecological economists trained and working, 0.3 billion USD",0,0,0,Afghanistan,1
45,MITIGATION,Water,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,0,0,Water Sector prioritization - 1 - Integrated water resource management (IWRM),"Creates a holistic approach to water resource management tha tis efficient, equitable. Large scale, short and medium term",1. Effectively protection of the environment 2. Manage the resources for best utilization,Afghanistan,1
46,MITIGATION,Water,Water efficiency and demand management,MULTI-PURPOSE DAMS,0,0,0,Water Sector prioritization - 2 - Small damns and micro catchment,"store water for low water times, increasing water use efficiency. Medicum sacle, medium term",1. Allow for an increased abstraction of water during water stressed seasons 2. Water use for water supply or environment protection,Afghanistan,1
47,MITIGATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,0,0,Water Sector prioritization - 3 - Rain water collection from ground surface,"landscape-based approach, to increae water conservation and productivity. Small scale collection infrastructure. Large scale - medium term",1.Reduce pressure on the surface and groundwater resources by decreasing household water demand 2. Mitigate or reducing the instances of flooding by capturing rooftop runoff during intense rainstorms 3. Provide a short-term security to households during periods of low rainfall or water scarcity,Afghanistan,1
48,MITIGATION,Water,Water augmentation (increasing capture and storage of surface runoff),WATERSHED CONSERVATION,0,Planning for proper watershed management and promoted through community-based natural resources management,"full catchment planning technology and models. Practitioners for watershed management, 2.5 billion USD",0,0,0,Afghanistan,1
49,MITIGATION,Water,Water efficiency and demand management,IMPROVED IRRIGATION EFFICIENCY,0,Increasing irrigated agricultural land to 3.14 M-ha through restoration and development of Afganistan's irrigation systems.,"Eco-agriculture and climate friendly irrigation technology transfer to Afghanistan, vocational and engineering capacity to design, build and maintain climate friendly irrigation networks and local schemes. 4.5 billion USD",Water Sector prioritization - 4 - Micro irrigation system ,"For efficient water use and management (gravity fed drip and pressurized sprinkler. Source from borehold, reservoir, field pond or potable source. Medium to Large Scale, short and medium term",1.Increase water use efficiency and effectiveness 2.Saving the water and decrease water wastage 3. Increase yield potential,Afghanistan,1
50,MITIGATION,Water,Water efficiency and demand management,SPRINKLER IRRIGATION,0,0,0,Water Sector prioritization - 5 - Sprinkler irrigation system,not recommended for prioritization,0,Afghanistan,1
51,MITIGATION,Water,Water efficiency and demand management,UNDEFINED,0,0,0,Water Sector prioritization - 6 - Water use association,not recommended for prioritization,0,Afghanistan,1
52,MITIGATION,Water,Water efficiency and demand management,DRIP IRRIGATION,0,0,0,Water Sector prioritization - 7 - Drip irrigation,not recommended for prioritization,0,Afghanistan,1
53,MITIGATION,Water,Integrated planning,GROUNDWATER EXTRACTION AND MONITORING,0,0,0,Water Sector prioritization - 8 - Wells for domestic water supply,not recommended for prioritization,0,Afghanistan,1
54,MITIGATION,Water,Water efficiency and demand management,LEAKAGE MANAGEMENT IN PIPED SYSTEMS,0,0,0,Water Sector prioritization - 10 - Water saving (reducing water leakage in water management facilities),not recommended for prioritization,0,Afghanistan,1
55,MITIGATION,Water,Water efficiency and demand management,GROUNDWATER EXTRACTION AND MONITORING,0,0,0,Water Sector prioritization - 11- Ground water mapping and modeling,not recommended for prioritization,0,Afghanistan,1
56,MITIGATION,Cross-sectoral Enablers and Approaches,Governance and Planning,UNDEFINED,Development and adoption of the Afganistan Climate Change Strategic and Action Plan,"Identification and mainstreaming of climate change adaptation technologies into the sectoral policies, strategies and development plans, and promotion of regional and international cooperation and coordination for adaptation and technology transfer","Climate policy technologies and methods; training Afgan climate policy experts, 0.01 billion USD",Water Sector prioritization - 12 - Water legislation improvement,not recommended for prioritization,0,Afghanistan,1
57,MITIGATION,Cross-sectoral Enablers and Approaches,Communication and Awareness,EARLY WARNING AND FORECASTING SYSTEMS,0,0,0,Water Sector prioritization - 9 - Early warning system for water supply management through snowpack monitoring,not recommended for prioritization,0,Afghanistan,1
58,MITIGATION,Renewable energy,Undefined,UNDEFINED,0,"By 2030, ensure that 50 MW capacity in national electricity mix comes from renewble sources.",Renewable sources can be on-grid and off-grid. These can be owned publicly or privately.,0,0,0,Antigua and Barbuda,1
59,MITIGATION,Renewable energy,Renewable energy infrastructure,OFF-GRID SYSTEMS,0,"By 2030, meet 100% electricity requirements of water sector, health services, food storage and emergency services using off-grid renewable electricity.",0,0,0,0,Antigua and Barbuda,1
60,MITIGATION,Agriculture,Wetland management,WETLAND MANAGEMENT,0,"By 2030, ensure that all wetlands with carbon sequestration potential are categorized as carbon sinks.",0,0,0,0,Antigua and Barbuda,1
61,MITIGATION,Waste Management,Resource efficiency,VALORISATION OF BY-PRODUCTS AND WASTE,0,Finalize technical studies to construct and bring online waste-to-energy powerplants by 2025.,This capacity will count in addition to 50 MW renewable energy target.,0,0,0,Antigua and Barbuda,1
62,MITIGATION,Transport,Vehicle and fuel technologies,VEHICLE EMISSION STANDARDS,0,Implement vehicle efficiency standards by 2020.,0,0,0,0,Antigua and Barbuda,1
63,MITIGATION,Energy efficiency,Buildings,BUILDING STANDARDS AND CODES,"By 2020, ensure building codes are updated to meet the demands of climate change.",0,0,0,0,0,Antigua and Barbuda,1
64,MITIGATION,Energy efficiency,Appliances and equipment,APPLIANCE STANDARDS,0,Implement appliance efficiency standards by 2020.,0,0,0,0,Antigua and Barbuda,1
65,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),WATERSHED CONSERVATION,0,"By 2030, ensure that all wetlands with carbon sequestration potential are protected as carbon sinks.",0,0,0,0,Antigua and Barbuda,1
66,ADAPTATION,Water,Alternative water sources,SEAWATER DESALINATION *,0,Increase seawater desalination capacity by 50% by 2025 from 2015 levels.,0,0,0,0,Antigua and Barbuda,1
67,ADAPTATION,Infrastructure and Urban planning,Building design and material,DISASTER-RESILIENT BUILDINGS,0,"By 2030 ensure that all buildings are capable of withstanding extreme climate events such as droughts, floods, and hurricanes",0,0,0,0,Antigua and Barbuda,1
68,ADAPTATION,Coss-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE INSURANCE *,0,"By 2030, allow farmers, fishers, residents and business owners to benefit from insurance to protect against losses from climate variability.",0,0,0,0,Antigua and Barbuda,1
69,ADAPTATION,Coss-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,"Build legal, policy, and institutional capacity to enable evolution of low-carbon emissions development pathway.",Multi-cropping (diversification of crops in fields),Identified under Climate Smart Agriculture in National Adaptation Plan document.,0,0,0,Antigua and Barbuda,1
72,MITIGATION,Renewable Energy,0,SOLAR PV,438 MW,Solar Power Plants and Photovoltaics,0,0,0,0,Angola,1
79,MITIGATION,Forestry and land use ,0,AFFORESTATION,0,Afforestation ,2 billion USD for afforestation,0,0,0,Angola,1
80,MITIGATION,Forestry and land use ,0,REFORESTATION,0,Reforestation  ,0,0,0,0,Angola,1
99,ADAPTATION,Marine and Fisheries,0,UNDEFINED,Undefined,0,Participatory and adaptive strategies for food security to reduce vulnerability of Benguela Current marine fisheries systems to climate change ,0,0,0,Angola,1
110,MITIGATION,Transport,Inland water & maritime,MARITIME SUPPORT SYSTEMS,0,0,0,0,0,0,Argentina,1
111,MITIGATION,Transport,Land transport,TRAFFIC MANAGEMENT,0,0,0,0,0,0,Argentina,1
112,MITIGATION,Transport,Land transport,MORE EFFICIENT TRAIN SYSTEM,0,0,0,0,0,0,Argentina,1
113,MITIGATION,Energy,Energy distribution,HYDROGEN INFRASTRUCTURE *,0,Moderate need,0,0,0,0,Argentina,1
114,MITIGATION,Energy,Renewable energy infrastructure,HYBRID RENEWABLE ENERGY SYSTEMS *,0,Moderate Need,0,0,0,0,Argentina,1
115,MITIGATION,Energy,Buildings,BUILDING ENVELOPE THERMAL INSULATION,0,Moderate Need,0,0,0,0,Argentina,1
116,MITIGATION,Energy,Renewable energy infrastructure,SOLAR PV,0,Moderate need,0,0,0,0,Argentina,1
117,MITIGATION,Agriculture,Soil management,RESTORATION OF DEGRADED LANDS,0,Moderate need,0,0,0,0,Argentina,1
118,MITIGATION,Agriculture,Increasing crop resilience and productivity,CROP ROTATION,0,Moderate need,0,0,0,0,Argentina,1
119,MITIGATION,Agriculture,Measurement of agricultural emissions,SOIL CARBON MEASUREMENT,0,Strong need,0,0,0,0,Argentina,1
120,MITIGATION,Forestry,Forest management for mitigation,AFFORESTATION,0,Moderate need,0,0,0,0,Argentina,1
121,MITIGATION,Industry,Mining & production,NON-FERROUS METALS,0,Moderate need,0,0,0,0,Argentina,1
122,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,0,0,0,0,0,0,Argentina,1
123,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,DROUGHT-RESISTANT CROPS,0,0,0,0,0,0,Argentina,1
124,ADAPTATION,Water,Water efficiency and demand management,WATER EFFICIENCY IN INDUSTRY,0,0,0,0,0,0,Argentina,1
125,ADAPTATION,Coss-sectoral Enablers and Approaches,Disaster risk reduction,DISASTER RISK REDUCTION,0,Strong need,0,0,0,0,Argentina,1
126,ADAPTATION,Coss-sectoral Enablers and Approaches,Ecosystems and Biodiversity,ECOSYSTEM-BASED ADAPTATION,0,0,0,0,0,0,Argentina,1
127,ADAPTATION,Coss-sectoral Enablers and Approaches,Governance and Planning,NATIONAL ADAPTATION PROGRAMMES OF ACTION,0,0,0,0,0,0,Argentina,1
128,ADAPTATION,Coss-sectoral Enablers and Approaches,Communication and Awareness,CLIMATE CHANGE AWARENESS CAMPAIGNS,0,0,0,0,0,0,Argentina,1
129,ADAPTATION,Coss-sectoral Enablers and Approaches,Governance and Planning,TECHNOLOGY NEEDS ASSESSMENT,0,0,0,0,0,0,Argentina,1
130,ADAPTATION,Human Health,Public health services,HEAT WAVE PLANS AND EMERGENCY RESPONSE,0,0,0,0,0,0,Argentina,1
131,ADAPTATION,Human Health,Vector-borne diseases,VECTOR-BORNE DISEASE PREVENTION,0,0,0,0,0,0,Argentina,1
132,ADAPTATION,Infrastructure and Urban planning,Resilient transport systems,RESILIENT RAILWAY SYSTEMS,0,0,0,0,0,0,Argentina,1
133,ADAPTATION,Infrastructure and Urban planning,0,RESILIENT ROAD SYSTEMS,0,0,0,0,0,0,Argentina,1
134,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,0,0,0,0,0,Argentina,1
135,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,DROUGHT RISK MAPPING,0,0,0,0,0,0,Argentina,1
136,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,DISASTER RISK ASSESSMENT TOOLS *,0,0,0,0,0,0,Argentina,1
137,ADAPTATION,Early Warning and Environmental Assesment,Early warning systems & forecasting,EARLY WARNING SYSTEMS COMMUNICATION,0,0,0,0,0,0,Argentina,1
138,ADAPTATION,Coastal Zones,Integrated coastal zone management,ECOSYSTEM RESTORATION AND CONSERVATION PLANS,0,0,0,0,0,0,Argentina,1
139,ADAPTATION,Coastal Zones,Integrated coastal zone management,COASTAL MONITORING,0,Low need,0,0,0,0,Argentina,1
140,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Energy Efficiency,Appliances and equipment,LIGHTING,0,Energy efficient lighting,"Application of energy-efficient bulbs,application of modern lighting systems",0,0,0,Azerbaijan,1
141,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Energy Efficiency,Undefined,UNDEFINED,0,Energy Efficiency awareness campaigns,implementation of awareness activities on energy efficiency,0,0,0,Azerbaijan,1
142,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Infrastructure and Urban Planning,Grid resiliency,GRID RESILIENCY,0,From Adaptation list reconstruction of distribution and transmission,reconstruction of the distribution networks and transmission lines,0,0,0,Azerbaijan,1
143,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Infrastructure and Urban Planning,Undefined,UNDEFINED,0,green spaces,urban and roadside greenery,0,0,0,Azerbaijan,1
144,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Undefined,Undefined,UNDEFINED,0,implementation of isolation works,implementation of isolation works ,0,0,0,Azerbaijan,1
145,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Undefined,Undefined,UNDEFINED,0,Oil and gas processing improvement,application of new and modern environmental-friendly technologies in oil and gas processing,0,0,0,Azerbaijan,1
146,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Undefined,Undefined,UNDEFINED,0,Control and Measurement devices,"Massive use of control and measurement devices in electrical, heat energy and natural gas systems",0,0,0,Azerbaijan,1
147,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Industry,Mining and Production,UNDEFINED,0,EURO-5 standards for fuel production by 2019,production of fuel in line with EURO-5 standards in a new refinery complex by 2019,0,0,0,Azerbaijan,1
148,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Industry,Undefined,UNDEFINED,0,Modernization of gas pipelines,Modernization of gas pipelines,0,0,0,Azerbaijan,1
149,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Carbon Fixation and Abatement,Fugitive emission control,UNDEFINED,0,Moderinzation of gas distribution system,Modernization of gas distribution system and other measures to decrease losses up to 1% by 2020,0,0,0,Azerbaijan,1
150,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Carbon Fixation and Abatement,Fugitive emission control,UNDEFINED,0,reduction of oil-gas emission,"based on adopted strategy, accumulation of gases emitted to the atmosphere during oil-gas production",0,0,0,Azerbaijan,1
151,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Carbon Fixation and Abatement,Fugitive emission control,UNDEFINED,0,Prevention of gas leaks,Prevention of gas leakages during oil-gas processing and at distribution networks,0,0,0,Azerbaijan,1
152,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Cross-Sectoral Enablers and Approaches,Undefined,UNDEFINED,0,Be in alignment with international standards for volume reduction ,ensure the volume of reduction is in compliance with international standards by 2050,0,0,0,Azerbaijan,1
153,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Cross-Sectoral Enablers and Approaches,Governance and Planning,UNDEFINED,0,"From Adaptation list policy and regulation on energy, Community Awareness for energy, Policy and Standards",Development of legislative acts and regulatory documents on energy. Organization of public awareness programs on energy use. Development and application of technical and normative legal documents on the use of alternative and renewable energy sources,0,0,0,Azerbaijan,1
154,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Cross-Sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,Increasing capacity of staff,strengthening the capacity of the staff,0,0,0,Azerbaijan,1
155,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,Shift in electric and thermal energy production,replacement of existing technologies in electricity and thermal energy production with modern technologies,0,0,0,Azerbaijan,1
156,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,Renewable energy for heating for residential sector,Acceleration of works to supply of renewable energy for the heating system for the population,0,0,0,Azerbaijan,1
157,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,Innovative technologies,Enhancement of use of innovative technologies,0,0,0,Azerbaijan,1
158,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Hydro,SMALL-SCALE HYDROPOWER,0,Use of small hydro power plants,"Construction of small hydro power plants (HPPs) on small rivers, irrigation canals and water basins",0,0,0,Azerbaijan,1
159,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,General Renewable Energy use,"Use of biomass, solar power, electric and heat energy, wind power, heat pumps and geothermal energy in all sectors of the economy",0,0,0,Azerbaijan,1
160,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,Transition to alternative sources of energy,Use alternative sources of energy and modern technologies,0,0,0,Azerbaijan,1
161,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Renewable Energy,Undefined,UNDEFINED,0,Modern energy technologies for heating,Use of modern energy-saving technologies in heating systems,0,0,0,Azerbaijan,1
